City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sabang,ID,82.47,scattered clouds,5.8933,95.3214,Hotel Citra
4,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
5,Baturaja,ID,72.14,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
8,Hermanus,ZA,71.8,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
11,Hilo,US,80.33,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
13,Rikitea,PF,79.77,broken clouds,-23.1203,-134.9692,People ThankYou
19,Ngaoundere,CM,75.16,overcast clouds,7.3167,13.5833,Hotel Mentong Palace
20,Souillac,MU,80.06,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
22,Kavieng,PG,81.37,light rain,-2.5744,150.7967,Nusa Island Retreat
24,Dingle,PH,76.91,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
26,Callaway,US,76.91,broken clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
27,Butaritari,KI,81.25,broken clouds,3.0707,172.7902,Isles Sunset Lodge
30,Hithadhoo,MV,83.23,clear sky,-0.6,73.0833,Scoop Guest House
33,Saint-Philippe,RE,78.39,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
47,Atuona,PF,79.34,overcast clouds,-9.8,-139.0333,Villa Enata
50,Vaini,TO,80.13,overcast clouds,-21.2,-175.2,Keleti Beach Resort
53,Port Keats,AU,79.81,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
54,Cidreira,BR,73.15,overcast clouds,-30.1811,-50.2056,Hotel Castelo
62,Bluefields,NI,81.18,overcast clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
66,Soledade,BR,72.48,overcast clouds,-28.8183,-52.5103,Pousada Da Gringa
68,Santa Rosa,PH,82.11,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
72,Georgetown,MY,82.33,thunderstorm,5.4112,100.3354,Cititel Penang
74,Avarua,CK,82.45,overcast clouds,-21.2078,-159.775,Paradise Inn
75,Bom Jesus,BR,84.22,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
