City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Klaksvik,FO,2022-03-20 18:42:35,62.2266,-6.589,45.52,93,100,23.11
1,Adrar,MR,2022-03-20 18:42:35,20.5022,-10.0711,80.55,11,0,7.65
2,Lavrentiya,RU,2022-03-20 18:42:35,65.5833,-171.0,-7.91,76,26,4.21
3,Tura,IN,2022-03-20 18:40:10,25.5198,90.2201,75.7,36,38,5.17
4,Katsuura,JP,2022-03-20 18:42:36,35.1333,140.3,48.0,88,100,20.85
5,Mahebourg,MU,2022-03-20 18:42:36,-20.4081,57.7,79.09,94,40,5.75
6,Iqaluit,CA,2022-03-20 18:42:36,63.7506,-68.5145,-9.31,63,20,0.0
7,Chambas,CU,2022-03-20 18:42:37,22.1928,-78.9136,90.16,36,0,13.0
8,Albany,US,2022-03-20 18:40:19,42.6001,-73.9662,50.95,73,100,10.0
9,Hami,CN,2022-03-20 18:42:37,42.8,93.45,42.26,30,100,2.77
10,Hilo,US,2022-03-20 18:41:13,19.7297,-155.09,79.61,80,100,6.91
11,Rikitea,PF,2022-03-20 18:42:38,-23.1203,-134.9692,79.72,75,8,11.81
12,Souillac,MU,2022-03-20 18:42:38,-20.5167,57.5167,79.18,94,40,5.75
13,Broken Hill,AU,2022-03-20 18:42:38,-31.95,141.4333,73.11,56,2,4.61
14,Vestmannaeyjar,IS,2022-03-20 18:42:39,63.4427,-20.2734,40.19,70,75,13.8
15,Longyearbyen,SJ,2022-03-20 18:42:39,78.2186,15.6401,21.04,73,75,8.05
16,Faya,SA,2022-03-20 18:42:40,18.3851,42.4509,60.91,57,0,5.44
17,Busselton,AU,2022-03-20 18:42:40,-33.65,115.3333,63.97,78,98,16.89
18,New Norfolk,AU,2022-03-20 18:42:40,-42.7826,147.0587,54.91,75,92,1.05
19,Tuktoyaktuk,CA,2022-03-20 18:42:41,69.4541,-133.0374,-11.2,77,100,8.05
20,Mataura,NZ,2022-03-20 18:42:42,-46.1927,168.8643,46.9,99,22,0.47
21,Castro,BR,2022-03-20 18:42:42,-24.7911,-50.0119,63.12,92,100,8.86
22,Richards Bay,ZA,2022-03-20 18:42:43,-28.783,32.0377,71.02,71,88,3.8
23,Maues,BR,2022-03-20 18:40:59,-3.3836,-57.7186,82.85,89,99,1.88
24,San Marcos,US,2022-03-20 18:42:43,33.1434,-117.1661,63.21,81,75,9.22
25,Port Hardy,CA,2022-03-20 18:42:43,50.6996,-127.4199,41.18,81,100,19.57
26,Cherskiy,RU,2022-03-20 18:42:44,68.75,161.3,-15.25,100,89,2.93
27,Tasiilaq,GL,2022-03-20 18:42:44,65.6145,-37.6368,17.76,65,0,6.55
28,Butaritari,KI,2022-03-20 18:42:45,3.0707,172.7902,80.01,82,32,17.36
29,Paamiut,GL,2022-03-20 18:42:45,61.994,-49.6678,7.48,85,7,12.08
30,Ancud,CL,2022-03-20 18:42:45,-41.8697,-73.8203,55.22,86,88,6.98
31,Yellowknife,CA,2022-03-20 18:42:46,62.456,-114.3525,31.41,82,75,9.22
32,Wasilla,US,2022-03-20 18:42:46,61.5814,-149.4394,37.22,69,100,3.44
33,Te Anau,NZ,2022-03-20 18:42:46,-45.4167,167.7167,48.69,91,11,2.46
34,Barrow,US,2022-03-20 18:40:02,71.2906,-156.7887,-23.78,91,0,3.44
35,Arraial Do Cabo,BR,2022-03-20 18:42:47,-22.9661,-42.0278,85.96,70,40,13.8
36,Bredasdorp,ZA,2022-03-20 18:42:47,-34.5322,20.0403,68.45,82,0,8.66
37,Sohag,EG,2022-03-20 18:42:47,26.557,31.6948,66.11,27,1,17.74
38,Puerto Ayora,EC,2022-03-20 18:42:48,-0.7393,-90.3518,87.76,77,75,6.76
39,Port Elizabeth,ZA,2022-03-20 18:42:48,-33.918,25.5701,70.32,74,0,6.91
40,Punta Arenas,CL,2022-03-20 18:42:49,-53.15,-70.9167,57.31,58,75,5.75
41,Hermanus,ZA,2022-03-20 18:42:49,-34.4187,19.2345,71.8,78,0,12.3
42,Torbay,CA,2022-03-20 18:42:49,47.6666,-52.7314,30.27,68,100,11.5
43,Provideniya,RU,2022-03-20 18:42:50,64.3833,-173.3,3.76,94,32,4.56
44,Leningradskiy,RU,2022-03-20 18:42:50,69.3833,178.4167,-2.49,74,38,5.84
45,Houston,US,2022-03-20 18:39:34,29.7633,-95.3633,78.33,33,0,24.16
46,Faanui,PF,2022-03-20 18:43:51,-16.4833,-151.75,83.05,71,6,21.43
47,Samarai,PG,2022-03-20 18:43:51,-10.6167,150.6667,82.58,79,100,12.95
48,Nanortalik,GL,2022-03-20 18:43:51,60.1432,-45.2371,16.36,77,6,14.9
49,Ushuaia,AR,2022-03-20 18:42:18,-54.8,-68.3,59.4,56,31,3.96
50,Port Keats,AU,2022-03-20 18:43:52,-14.25,129.55,82.8,84,100,3.91
51,Kapaa,US,2022-03-20 18:40:51,22.0752,-159.319,75.47,84,0,0.0
52,Vaini,TO,2022-03-20 18:43:52,-21.2,-175.2,75.36,94,100,4.61
53,Saint George,US,2022-03-20 18:43:53,37.1041,-113.5841,63.63,36,0,8.99
54,Pervomayskoye,RU,2022-03-20 18:43:53,43.919,46.7102,27.52,70,2,5.21
55,Palmas,BR,2022-03-20 18:43:53,-10.2128,-48.3603,83.98,70,40,3.44
56,Deputatskiy,RU,2022-03-20 18:43:54,69.3,139.9,-16.04,88,7,3.18
57,Tilichiki,RU,2022-03-20 18:43:54,60.4667,166.1,29.59,94,100,26.55
58,Qaanaaq,GL,2022-03-20 18:43:54,77.484,-69.3632,-4.58,92,100,6.51
59,Airai,TL,2022-03-20 18:43:55,-8.9266,125.4092,60.08,90,94,1.36
60,Kuryk,KZ,2022-03-20 18:43:55,43.2,51.65,29.77,52,0,14.38
61,Nishihara,JP,2022-03-20 18:43:55,26.1842,127.7558,69.85,81,100,8.05
62,Hobart,AU,2022-03-20 18:43:56,-42.8794,147.3294,55.26,97,100,4.61
63,Georgetown,MY,2022-03-20 18:43:56,5.4112,100.3354,82.33,87,20,5.75
64,Vigrestad,NO,2022-03-20 18:43:56,58.5667,5.7,47.88,63,0,22.68
65,Qaqortoq,GL,2022-03-20 18:43:57,60.7167,-46.0333,13.42,72,0,3.85
66,Comodoro Rivadavia,AR,2022-03-20 18:43:57,-45.8667,-67.5,69.66,40,0,11.5
67,Kurumkan,RU,2022-03-20 18:43:57,54.3,110.3,-0.67,92,56,4.56
68,Homer,US,2022-03-20 18:43:58,59.6425,-151.5483,39.04,58,0,10.36
69,Okhotsk,RU,2022-03-20 18:43:58,59.3833,143.3,11.37,80,100,17.09
70,Aswan,EG,2022-03-20 18:43:59,24.0934,32.907,72.59,16,0,9.71
71,Banda Aceh,ID,2022-03-20 18:44:00,5.5577,95.3222,79.52,76,100,13.22
72,Kaitangata,NZ,2022-03-20 18:44:00,-46.2817,169.8464,47.55,95,30,2.89
73,Cape Town,ZA,2022-03-20 18:39:56,-33.9258,18.4232,75.11,74,0,17.27
74,Carbonia,IT,2022-03-20 18:44:01,39.1672,8.5222,52.75,84,93,10.94
75,Avarua,CK,2022-03-20 18:44:01,-21.2078,-159.775,80.65,89,40,3.44
76,Haines Junction,CA,2022-03-20 18:44:01,60.7522,-137.5108,17.55,67,98,0.0
77,Upernavik,GL,2022-03-20 18:44:02,72.7868,-56.1549,-6.16,93,89,3.42
